XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
03,00,00,03,00,00,XX,06,00,00,00,XX
15,00,00,00,00,00,15,00,00,00,00,00
XX,XX,03,00,00,03,00,00,XX,04,00,00
XX,04,00,00,05,00,00,XX,07,00,00,XX
29,00,00,00,00,00,00,00,06,00,00,XX
06,00,00,05,00,00,05,00,00,05,00,00
XX,05,00,00,28,00,00,00,00,00,00,00
XX,06,00,00,XX,04,00,00,10,00,00,XX
07,00,00,XX,05,00,00,04,00,00,XX,XX
17,00,00,00,00,00,16,00,00,00,00,00
XX,12,00,00,00,XX,05,00,00,03,00,00

XX,03,05,XX,07,06,XX,XX,04,06,36,XX
XX,00,00,10,00,00,XX,03,00,00,00,05
XX,00,00,00,00,00,10,00,00,00,00,00
XX,XX,37,00,00,12,00,00,XX,03,00,00
XX,03,00,00,04,00,00,14,XX,00,00,XX
XX,00,00,00,00,00,00,00,07,00,00,09
XX,00,00,03,00,00,09,00,00,14,00,00
XX,XX,00,00,XX,00,00,00,00,00,00,00
XX,03,00,00,XX,05,00,00,06,00,00,XX
XX,00,00,03,04,00,00,03,00,00,05,07
XX,00,00,00,00,00,XX,00,00,00,00,00
XX,XX,00,00,00,XX,XX,00,00,XX,00,00
