XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
13,00,00,00,00,XX,XX,10,00,00,00,00

26,00,00,00,00,00,26,00,00,00,00,00

04,00,00,XX,10,00,00,00,XX,04,00,00

XX,XX,XX,XX,07,00,00,00,XX,XX,XX,XX

04,00,00,03,00,00,03,00,00,04,00,00

15,00,00,00,00,00,15,00,00,00,00,00

XX,XX,04,00,00,XX,XX,04,00,00,XX,XX

15,00,00,00,00,00,15,00,00,00,00,00

04,00,00,06,00,00,06,00,00,04,00,00

XX,XX,XX,XX,10,00,00,00,XX,XX,XX,XX

04,00,00,XX,07,00,00,00,XX,04,00,00

19,00,00,00,00,00,17,00,00,00,00,00

20,00,00,00,00,XX,XX,20,00,00,00,00

XX,06,07,08,16,XX,XX,XX,13,08,06,07

XX,00,00,00,00,16,XX,17,00,00,00,00

XX,00,00,00,00,00,04,00,00,00,00,00

XX,00,00,XX,XX,00,00,00,XX,XX,00,00

XX,08,03,XX,15,00,00,00,15,XX,08,03

XX,00,00,07,00,00,XX,00,00,07,00,00

XX,00,00,00,00,00,XX,00,00,00,00,00

XX,06,04,00,00,15,XX,15,00,00,06,04

XX,00,00,00,00,00,XX,00,00,00,00,00

XX,00,00,XX,00,00,04,00,00,XX,00,00

XX,07,06,XX,XX,00,00,00,XX,XX,07,06

XX,00,00,08,17,00,00,00,16,08,00,00

XX,00,00,00,00,00,XX,00,00,00,00,00

XX,00,00,00,00,XX,XX,XX,00,00,00,00
