XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
08,00,00,04,00,00,XX,19,00,00,00,XX,XX
24,00,00,00,00,00,39,00,00,00,00,00,00
XX,04,00,00,XX,06,00,00,00,XX,07,00,00
07,00,00,21,00,00,00,00,08,00,00,XX,XX
12,00,00,28,00,00,00,00,17,00,00,00,00
29,00,00,00,00,XX,13,00,00,XX,07,00,00
XX,XX,12,00,00,00,20,00,00,00,08,00,00
16,00,00,11,00,00,XX,28,00,00,00,00,XX
09,00,00,XX,XX,XX,04,00,00,14,00,00,00
XX,25,00,00,00,00,03,00,00,XX,09,00,00
35,00,00,00,00,00,00,00,22,00,00,00,XX
15,00,00,XX,XX,07,00,00,24,00,00,00,XX

XX,04,33,XX,05,04,XX,XX,11,15,09,XX,XX
XX,00,00,10,00,00,XX,35,00,00,00,09,14
XX,00,00,00,00,00,14,00,00,00,00,00,00
XX,18,00,00,15,17,00,00,00,03,14,00,00
XX,00,00,XX,00,00,00,00,XX,00,00,42,09
XX,00,00,17,00,00,00,00,26,00,00,00,00
XX,00,00,00,00,11,XX,00,00,14,XX,00,00
XX,15,31,00,00,00,XX,00,00,00,09,00,00
XX,00,00,XX,00,00,XX,11,00,00,00,00,13
XX,00,00,16,17,04,XX,00,00,XX,00,00,00
XX,08,00,00,00,00,09,00,00,17,16,00,00
XX,00,00,00,00,00,00,00,XX,00,00,00,XX
XX,00,00,XX,XX,XX,00,00,XX,00,00,00,XX
